,Rank,Release Group,Worldwide,Domestic,%,Foreign,%.1,filename,year
129,130,Namiya,"$35,351,623","$70,814",0.2%,"$35,280,809",99.8%,2017_boxofficemojo_rankings.csv,2017
130,131,Kidnap,"$34,814,102","$30,971,040",89%,"$3,843,062",11%,2017_boxofficemojo_rankings.csv,2017
131,132,The House,"$34,184,504","$25,584,504",74.8%,"$8,600,000",25.2%,2017_boxofficemojo_rankings.csv,2017
132,133,I Want to Eat Your Pancreas,"$33,748,006","$277,019",0.8%,"$33,470,987",99.2%,2017_boxofficemojo_rankings.csv,2017
133,134,Perfect Strangers,"$33,262,366","$1,014,507",3.1%,"$32,247,859",96.9%,2017_boxofficemojo_rankings.csv,2017
134,135,Sleepless,"$32,917,353","$20,783,704",63.1%,"$12,133,649",36.9%,2017_boxofficemojo_rankings.csv,2017
135,136,This Is Not What I Expected,"$30,996,615","$337,670",1.1%,"$30,658,945",98.9%,2017_boxofficemojo_rankings.csv,2017
136,137,Reset 2017 Re-release,"$29,949,252","$108,970",0.4%,"$29,840,282",99.6%,2017_boxofficemojo_rankings.csv,2017
137,138,The Bye Bye Man,"$29,874,280","$22,395,806",75%,"$7,478,474",25%,2017_boxofficemojo_rankings.csv,2017
138,139,The Disaster Artist,"$29,820,616","$21,120,616",70.8%,"$8,700,000",29.2%,2017_boxofficemojo_rankings.csv,2017
139,140,The Swindlers,"$29,721,916","$241,916",0.8%,"$29,480,000",99.2%,2017_boxofficemojo_rankings.csv,2017
140,141,Sword Art Online The Movie: Ordinal Scale,"$29,322,339","$1,522,976",5.2%,"$27,799,363",94.8%,2017_boxofficemojo_rankings.csv,2017
141,142,Twins 2,"$28,733,523","$1,431,255",5%,"$27,302,268",95%,2017_boxofficemojo_rankings.csv,2017
142,143,The Fortress,"$28,645,448","$252,895",0.9%,"$28,392,553",99.1%,2017_boxofficemojo_rankings.csv,2017
143,144,Monster Family,"$27,890,108","$127,259",0.5%,"$27,762,849",99.5%,2017_boxofficemojo_rankings.csv,2017
144,145,The Beguiled,"$27,869,129","$10,709,995",38.4%,"$17,159,134",61.6%,2017_boxofficemojo_rankings.csv,2017
145,146,Chips,"$26,800,152","$18,600,152",69.4%,"$8,200,000",30.6%,2017_boxofficemojo_rankings.csv,2017
146,147,A Cure for Wellness,"$26,620,002","$8,106,986",30.5%,"$18,513,016",69.5%,2017_boxofficemojo_rankings.csv,2017
147,148,Only the Brave,"$26,351,322","$18,343,983",69.6%,"$8,007,339",30.4%,2017_boxofficemojo_rankings.csv,2017
148,149,The Zookeeper's Wife,"$26,152,835","$17,571,660",67.2%,"$8,581,175",32.8%,2017_boxofficemojo_rankings.csv,2017
149,150,Badrinath Ki Dulhania,"$26,134,309","$1,993,259",7.6%,"$24,141,050",92.4%,2017_boxofficemojo_rankings.csv,2017
150,151,Fireworks,"$25,672,406","$525,280",2%,"$25,147,126",98%,2017_boxofficemojo_rankings.csv,2017
151,152,Father Figures,"$25,601,244","$17,501,244",68.4%,"$8,100,000",31.6%,2017_boxofficemojo_rankings.csv,2017
152,153,The Death of Stalin,"$24,646,055","$8,047,856",32.7%,"$16,598,199",67.3%,2017_boxofficemojo_rankings.csv,2017
153,154,Jolly LLB 2,"$24,214,186","$1,654,254",6.8%,"$22,559,932",93.2%,2017_boxofficemojo_rankings.csv,2017
154,155,I Can Speak,"$24,024,444","$63,239",0.3%,"$23,961,205",99.7%,2017_boxofficemojo_rankings.csv,2017
155,156,Wish Upon,"$23,468,586","$14,301,505",60.9%,"$9,167,081",39.1%,2017_boxofficemojo_rankings.csv,2017
156,157,Detroit,"$23,355,100","$16,790,139",71.9%,"$6,564,961",28.1%,2017_boxofficemojo_rankings.csv,2017
157,158,Extraordinary Mission,"$22,757,764","$54,174",0.2%,"$22,703,590",99.8%,2017_boxofficemojo_rankings.csv,2017
158,159,The Glass Castle,"$22,088,533","$17,273,059",78.2%,"$4,815,474",21.8%,2017_boxofficemojo_rankings.csv,2017
159,160,Leap! 2017 Re-release,"$21,929,861","$21,858,070",99.7%,"$71,791",0.3%,2017_boxofficemojo_rankings.csv,2017
160,161,The Prison,"$21,205,329","$207,481",1%,"$20,997,848",99%,2017_boxofficemojo_rankings.csv,2017
161,162,It Comes at Night,"$19,735,344","$13,985,117",70.9%,"$5,750,227",29.1%,2017_boxofficemojo_rankings.csv,2017
162,163,The Lost City of Z,"$19,263,938","$8,580,410",44.5%,"$10,683,528",55.5%,2017_boxofficemojo_rankings.csv,2017
163,164,Memoir of a Murderer,"$19,015,346","$91,335",0.5%,"$18,924,011",99.5%,2017_boxofficemojo_rankings.csv,2017
164,165,Battle of the Sexes,"$18,598,607","$12,638,526",68%,"$5,960,081",32%,2017_boxofficemojo_rankings.csv,2017
165,166,Fabricated City,"$18,307,490","$104,874",0.6%,"$18,202,616",99.4%,2017_boxofficemojo_rankings.csv,2017
166,167,The Case for Christ,"$18,175,663","$14,682,684",80.8%,"$3,492,979",19.2%,2017_boxofficemojo_rankings.csv,2017
167,168,Unforgettable,"$17,768,012","$11,368,012",64%,"$6,400,000",36%,2017_boxofficemojo_rankings.csv,2017
168,169,Toilet: A Love Story,"$17,567,417","$1,830,715",10.4%,"$15,736,702",89.6%,2017_boxofficemojo_rankings.csv,2017
169,170,Fate/Stay Night: Heaven's Feel - I. Presage Flower,"$17,422,935","$193,833",1.1%,"$17,229,102",98.9%,2017_boxofficemojo_rankings.csv,2017
170,171,Legend of the Naga Pearls,"$17,274,695","$13,588",<0.1%,"$17,261,107",99.9%,2017_boxofficemojo_rankings.csv,2017
171,172,Before I Fall,"$16,373,843","$12,241,122",74.8%,"$4,132,721",25.2%,2017_boxofficemojo_rankings.csv,2017
172,173,The Space Between Us,"$16,080,475","$7,885,294",49%,"$8,195,181",51%,2017_boxofficemojo_rankings.csv,2017
173,174,Wonder Wheel,"$15,889,124","$1,404,061",8.8%,"$14,485,063",91.2%,2017_boxofficemojo_rankings.csv,2017
174,175,When Harry Met Sejal,"$15,360,368","$1,664,648",10.8%,"$13,695,720",89.2%,2017_boxofficemojo_rankings.csv,2017
175,176,Gold,"$14,880,939","$7,227,038",48.6%,"$7,653,901",51.4%,2017_boxofficemojo_rankings.csv,2017
176,177,School of Life,"$14,880,497","$6,300",<0.1%,"$14,874,197",100%,2017_boxofficemojo_rankings.csv,2017
177,178,Megan Leavey,"$14,510,490","$13,406,883",92.4%,"$1,103,607",7.6%,2017_boxofficemojo_rankings.csv,2017
178,179,Do It Like An Hombre,"$13,610,252","$2,534,252",18.6%,"$11,076,000",81.4%,2017_boxofficemojo_rankings.csv,2017
179,180,The Third Murder,"$13,411,936","$89,315",0.7%,"$13,322,621",99.3%,2017_boxofficemojo_rankings.csv,2017
180,181,Our President,"$13,392,049","$507,268",3.8%,"$12,884,781",96.2%,2017_boxofficemojo_rankings.csv,2017
181,182,Paris Can Wait,"$13,203,541","$5,617,731",42.5%,"$7,585,810",57.5%,2017_boxofficemojo_rankings.csv,2017
182,183,"Roman J. Israel, Esq.","$13,025,860","$11,962,778",91.8%,"$1,063,082",8.2%,2017_boxofficemojo_rankings.csv,2017
183,184,Mubarakan,"$12,899,968","$758,868",5.9%,"$12,141,100",94.1%,2017_boxofficemojo_rankings.csv,2017
184,185,Earth: One Amazing Day,"$12,851,540","$81,345",0.6%,"$12,770,195",99.4%,2017_boxofficemojo_rankings.csv,2017
185,186,Suburbicon,"$12,751,667","$5,775,178",45.3%,"$6,976,489",54.7%,2017_boxofficemojo_rankings.csv,2017
186,187,Their Finest,"$12,597,262","$3,603,484",28.6%,"$8,993,778",71.4%,2017_boxofficemojo_rankings.csv,2017
187,188,The Promise,"$12,448,676","$8,224,288",66.1%,"$4,224,388",33.9%,2017_boxofficemojo_rankings.csv,2017
188,189,Marrowbone,"$12,294,931","$1,377",<0.1%,"$12,293,554",100%,2017_boxofficemojo_rankings.csv,2017
189,190,The Bookshop,"$12,055,868","$1,588,150",13.2%,"$10,467,718",86.8%,2017_boxofficemojo_rankings.csv,2017
190,191,Viceroy's House,"$11,868,221","$1,105,717",9.3%,"$10,762,504",90.7%,2017_boxofficemojo_rankings.csv,2017
191,192,Back to Burgundy,"$11,625,884","$257,610",2.2%,"$11,368,274",97.8%,2017_boxofficemojo_rankings.csv,2017
192,193,The King's Case Note,"$11,383,493","$90,959",0.8%,"$11,292,534",99.2%,2017_boxofficemojo_rankings.csv,2017
193,194,The Belko Experiment,"$11,084,630","$10,166,820",91.7%,"$917,810",8.3%,2017_boxofficemojo_rankings.csv,2017
194,195,The Florida Project,"$10,971,298","$5,904,366",53.8%,"$5,066,932",46.2%,2017_boxofficemojo_rankings.csv,2017
195,196,A Bag of Marbles,"$10,898,998","$411,318",3.8%,"$10,487,680",96.2%,2017_boxofficemojo_rankings.csv,2017
196,197,The Leisure Seeker,"$10,472,180","$3,226,443",30.8%,"$7,245,737",69.2%,2017_boxofficemojo_rankings.csv,2017
197,198,Furious,"$10,433,259","$9,996",<0.1%,"$10,423,263",99.9%,2017_boxofficemojo_rankings.csv,2017
198,199,Marshall,"$10,116,816","$10,051,659",99.4%,"$65,157",0.6%,2017_boxofficemojo_rankings.csv,2017
199,200,Thank You for Your Service,"$9,995,692","$9,536,300",95.4%,"$459,392",4.6%,2017_boxofficemojo_rankings.csv,2017
200,201,Maudie,"$9,733,932","$6,170,998",63.4%,"$3,562,934",36.6%,2017_boxofficemojo_rankings.csv,2017
201,202,Overdrive,"$9,650,552","$7,793",<0.1%,"$9,642,759",99.9%,2017_boxofficemojo_rankings.csv,2017
202,203,God of War,"$9,559,524","$53,000",0.6%,"$9,506,524",99.4%,2017_boxofficemojo_rankings.csv,2017
203,204,The Square,"$9,493,791","$1,502,347",15.8%,"$7,991,444",84.2%,2017_boxofficemojo_rankings.csv,2017
204,205,Our Time Will Come,"$9,484,714","$114,560",1.2%,"$9,370,154",98.8%,2017_boxofficemojo_rankings.csv,2017
205,206,The Mayor 2017 Re-release,"$9,476,194","$96,777",1%,"$9,379,417",99%,2017_boxofficemojo_rankings.csv,2017
206,207,The Big Bad Fox and Other Tales,"$9,399,067","$35,787",0.4%,"$9,363,280",99.6%,2017_boxofficemojo_rankings.csv,2017
207,208,You Were Never Really Here,"$9,360,514","$2,528,078",27%,"$6,832,436",73%,2017_boxofficemojo_rankings.csv,2017
208,209,Tulip Fever,"$9,204,549","$2,455,635",26.7%,"$6,748,914",73.3%,2017_boxofficemojo_rankings.csv,2017
209,210,My Cousin Rachel,"$9,200,168","$2,716,368",29.5%,"$6,483,800",70.5%,2017_boxofficemojo_rankings.csv,2017
210,211,City Of Rock,"$9,118,873","$312,537",3.4%,"$8,806,336",96.6%,2017_boxofficemojo_rankings.csv,2017
211,212,Bluebeard,"$8,855,737","$43,144",0.5%,"$8,812,593",99.5%,2017_boxofficemojo_rankings.csv,2017
212,213,The Villainess,"$8,737,458","$27,741",0.3%,"$8,709,717",99.7%,2017_boxofficemojo_rankings.csv,2017
213,214,Stronger,"$8,503,658","$4,211,129",49.5%,"$4,292,529",50.5%,2017_boxofficemojo_rankings.csv,2017
214,215,Amityville: The Awakening,"$8,481,997",$742,<0.1%,"$8,481,255",100%,2017_boxofficemojo_rankings.csv,2017
215,216,Condorito: The Movie,"$8,431,194","$447,719",5.3%,"$7,983,475",94.7%,2017_boxofficemojo_rankings.csv,2017
216,217,Raees,"$8,428,190","$3,262,954",38.7%,"$5,165,236",61.3%,2017_boxofficemojo_rankings.csv,2017
217,218,I Am Not Your Negro,"$8,345,298","$7,123,919",85.4%,"$1,221,379",14.6%,2017_boxofficemojo_rankings.csv,2017
218,219,The Man Who Invented Christmas,"$8,096,007","$5,676,486",70.1%,"$2,419,521",29.9%,2017_boxofficemojo_rankings.csv,2017
219,220,3 idiotas,"$7,738,470","$1,249,233",16.1%,"$6,489,237",83.9%,2017_boxofficemojo_rankings.csv,2017
220,221,Explosion,"$7,731,410","$122,700",1.6%,"$7,608,710",98.4%,2017_boxofficemojo_rankings.csv,2017
221,222,BPM (Beats Per Minute),"$7,704,369","$125,189",1.6%,"$7,579,180",98.4%,2017_boxofficemojo_rankings.csv,2017
222,223,Just Getting Started,"$7,634,022","$6,069,605",79.5%,"$1,564,417",20.5%,2017_boxofficemojo_rankings.csv,2017
223,224,Beatriz at Dinner,"$7,425,391","$7,115,854",95.8%,"$309,537",4.2%,2017_boxofficemojo_rankings.csv,2017
224,225,Goodbye Christopher Robin,"$7,401,949","$1,735,251",23.4%,"$5,666,698",76.6%,2017_boxofficemojo_rankings.csv,2017
225,226,The Midwife,"$7,286,136","$603,582",8.3%,"$6,682,554",91.7%,2017_boxofficemojo_rankings.csv,2017
226,227,Let There Be Light,"$7,233,471","$7,233,471",100%,-,-,2017_boxofficemojo_rankings.csv,2017
227,228,Birth of the Dragon,"$7,215,027","$6,901,965",95.7%,"$313,062",4.3%,2017_boxofficemojo_rankings.csv,2017
228,229,Blade of the Immortal,"$7,162,617","$150,532",2.1%,"$7,012,085",97.9%,2017_boxofficemojo_rankings.csv,2017
229,230,The Killing of a Sacred Deer,"$7,027,336","$2,291,901",32.6%,"$4,735,435",67.4%,2017_boxofficemojo_rankings.csv,2017
230,231,Churchill,"$6,724,365","$1,281,258",19.1%,"$5,443,107",80.9%,2017_boxofficemojo_rankings.csv,2017
231,232,Everybody Loves Somebody,"$6,481,798","$1,915,789",29.6%,"$4,566,009",70.4%,2017_boxofficemojo_rankings.csv,2017
232,233,Same Kind of Different as Me,"$6,423,605","$6,423,605",100%,-,-,2017_boxofficemojo_rankings.csv,2017
233,234,Hampstead,"$6,335,171","$144,396",2.3%,"$6,190,775",97.7%,2017_boxofficemojo_rankings.csv,2017
234,235,Lowriders,"$6,312,033","$6,303,560",99.9%,"$8,473",0.1%,2017_boxofficemojo_rankings.csv,2017
235,236,Norman,"$6,217,567","$3,814,868",61.4%,"$2,402,699",38.6%,2017_boxofficemojo_rankings.csv,2017
236,237,All Saints,"$5,942,565","$5,802,208",97.6%,"$140,357",2.4%,2017_boxofficemojo_rankings.csv,2017
237,238,Phillauri,"$5,805,030","$467,596",8.1%,"$5,337,434",91.9%,2017_boxofficemojo_rankings.csv,2017
238,239,Dalida,"$5,623,134","$3,465",<0.1%,"$5,619,669",99.9%,2017_boxofficemojo_rankings.csv,2017
239,240,The Party,"$5,597,950","$749,827",13.4%,"$4,848,123",86.6%,2017_boxofficemojo_rankings.csv,2017
240,241,Warriors of the Dawn,"$5,497,176","$84,532",1.5%,"$5,412,644",98.5%,2017_boxofficemojo_rankings.csv,2017
241,242,OK Jaanu,"$5,445,281","$355,922",6.5%,"$5,089,359",93.5%,2017_boxofficemojo_rankings.csv,2017
242,243,An Inconvenient Sequel: Truth to Power,"$5,433,926","$3,496,795",64.4%,"$1,937,131",35.6%,2017_boxofficemojo_rankings.csv,2017
243,244,Lady Macbeth,"$5,401,447","$1,129,408",20.9%,"$4,272,039",79.1%,2017_boxofficemojo_rankings.csv,2017
244,245,Madame,"$5,381,950","$90,979",1.7%,"$5,290,971",98.3%,2017_boxofficemojo_rankings.csv,2017
245,246,In the Fade,"$5,104,991","$321,011",6.3%,"$4,783,980",93.7%,2017_boxofficemojo_rankings.csv,2017
246,247,The Sense of an Ending,"$5,081,495","$1,274,420",25.1%,"$3,807,075",74.9%,2017_boxofficemojo_rankings.csv,2017
247,248,Table 19,"$5,042,014","$3,614,896",71.7%,"$1,427,118",28.3%,2017_boxofficemojo_rankings.csv,2017
248,249,Kedi,"$5,037,923","$2,835,047",56.3%,"$2,202,876",43.7%,2017_boxofficemojo_rankings.csv,2017
249,250,Breathe,"$5,026,154","$490,131",9.8%,"$4,536,023",90.2%,2017_boxofficemojo_rankings.csv,2017
250,251,Double Lover,"$5,012,423","$167,581",3.3%,"$4,844,842",96.7%,2017_boxofficemojo_rankings.csv,2017
251,252,The Young Karl Marx,"$4,870,373","$125,659",2.6%,"$4,744,714",97.4%,2017_boxofficemojo_rankings.csv,2017
252,253,Mazinger Z: INFINITY,"$4,812,371","$220,682",4.6%,"$4,591,689",95.4%,2017_boxofficemojo_rankings.csv,2017
253,254,Unlocked,"$4,699,125",-,-,"$4,699,125",100%,2017_boxofficemojo_rankings.csv,2017
254,255,Tubelight,"$4,650,456","$930,058",20%,"$3,720,398",80%,2017_boxofficemojo_rankings.csv,2017
255,256,The Book of Henry,"$4,596,705","$4,504,974",98%,"$91,731",2%,2017_boxofficemojo_rankings.csv,2017
256,257,Colossal,"$4,531,320","$3,029,287",66.9%,"$1,502,033",33.1%,2017_boxofficemojo_rankings.csv,2017
257,258,The Wall,"$4,476,705","$1,803,064",40.3%,"$2,673,641",59.7%,2017_boxofficemojo_rankings.csv,2017
258,259,In Harm's Way,"$4,447,734",-,-,"$4,447,734",100%,2017_boxofficemojo_rankings.csv,2017
259,260,Mark Felt: The Man Who Brought Down the White House,"$4,372,130","$768,946",17.6%,"$3,603,184",82.4%,2017_boxofficemojo_rankings.csv,2017
260,261,The Other Side of Hope,"$4,282,973","$183,943",4.3%,"$4,099,030",95.7%,2017_boxofficemojo_rankings.csv,2017
261,262,Let the Sunshine In,"$4,192,590","$892,421",21.3%,"$3,300,169",78.7%,2017_boxofficemojo_rankings.csv,2017
262,263,The Guardians,"$4,167,608","$177,331",4.3%,"$3,990,277",95.7%,2017_boxofficemojo_rankings.csv,2017
263,264,The Hero,"$4,101,699","$4,077,333",99.4%,"$24,366",0.6%,2017_boxofficemojo_rankings.csv,2017
264,265,Film Stars Don't Die in Liverpool,"$4,047,917","$1,026,124",25.3%,"$3,021,793",74.7%,2017_boxofficemojo_rankings.csv,2017
265,266,Jeepers Creepers III,"$4,017,852","$2,335,162",58.1%,"$1,682,690",41.9%,2017_boxofficemojo_rankings.csv,2017
266,267,Faces Places,"$3,998,450","$953,717",23.9%,"$3,044,733",76.1%,2017_boxofficemojo_rankings.csv,2017
267,268,Sleight,"$3,989,705","$3,986,245",99.9%,"$3,460",<0.1%,2017_boxofficemojo_rankings.csv,2017
268,269,The Nile Hilton Incident,"$3,979,536","$81,089",2%,"$3,898,447",98%,2017_boxofficemojo_rankings.csv,2017
269,270,2:22,"$3,945,729",$422,<0.1%,"$3,945,307",100%,2017_boxofficemojo_rankings.csv,2017
270,271,Terminator 2: Judgment Day 2017 Re-release,"$3,931,111","$1,037,809",26.4%,"$2,893,302",73.6%,2017_boxofficemojo_rankings.csv,2017
271,272,Loveless,"$3,925,992","$566,356",14.4%,"$3,359,636",85.6%,2017_boxofficemojo_rankings.csv,2017
272,273,"The Night Is Short, Walk on Girl","$3,878,208","$406,490",10.5%,"$3,471,718",89.5%,2017_boxofficemojo_rankings.csv,2017
273,274,Django,"$3,876,874","$56,556",1.5%,"$3,820,318",98.5%,2017_boxofficemojo_rankings.csv,2017
274,275,Brad's Status,"$3,816,527","$2,133,158",55.9%,"$1,683,369",44.1%,2017_boxofficemojo_rankings.csv,2017
275,276,Free Fire,"$3,719,383","$1,799,312",48.4%,"$1,920,071",51.6%,2017_boxofficemojo_rankings.csv,2017
276,277,A Fantastic Woman,"$3,702,353","$2,020,988",54.6%,"$1,681,365",45.4%,2017_boxofficemojo_rankings.csv,2017
277,278,Crooked House,"$3,625,952",-,-,"$3,625,952",100%,2017_boxofficemojo_rankings.csv,2017
278,279,The Insult,"$3,601,603","$1,001,305",27.8%,"$2,600,298",72.2%,2017_boxofficemojo_rankings.csv,2017
279,280,Phoenix Forgotten,"$3,600,146","$3,600,146",100%,-,-,2017_boxofficemojo_rankings.csv,2017
280,281,Heart Blackened,"$3,593,480","$37,047",1%,"$3,556,433",99%,2017_boxofficemojo_rankings.csv,2017
281,282,Til Death Do Us Part,"$3,455,267","$3,455,267",100%,-,-,2017_boxofficemojo_rankings.csv,2017
282,283,A Gentleman,"$3,438,746","$410,055",11.9%,"$3,028,691",88.1%,2017_boxofficemojo_rankings.csv,2017
283,284,Borg vs. McEnroe,"$3,430,165","$231,346",6.7%,"$3,198,819",93.3%,2017_boxofficemojo_rankings.csv,2017
284,285,Gauguin: Voyage to Tahiti,"$3,389,322","$200,140",5.9%,"$3,189,182",94.1%,2017_boxofficemojo_rankings.csv,2017
285,286,Wonderstruck,"$3,285,916","$1,060,377",32.3%,"$2,225,539",67.7%,2017_boxofficemojo_rankings.csv,2017
286,287,Good Time,"$3,283,369","$2,026,499",61.7%,"$1,256,870",38.3%,2017_boxofficemojo_rankings.csv,2017
287,288,Showtime Championship Boxing: Floyd Mayweather vs. Conor McGregor,"$3,184,384","$2,620,183",82.3%,"$564,201",17.7%,2017_boxofficemojo_rankings.csv,2017
288,289,Ingrid Goes West,"$3,146,831","$3,024,308",96.1%,"$122,523",3.9%,2017_boxofficemojo_rankings.csv,2017
289,290,Close Encounters of the Third Kind 2017 Re-release,"$3,101,507","$3,100,479",100%,"$1,028",<0.1%,2017_boxofficemojo_rankings.csv,2017
290,291,Raw,"$3,096,815","$514,870",16.6%,"$2,581,945",83.4%,2017_boxofficemojo_rankings.csv,2017
291,292,Ismael's Ghosts,"$3,075,562","$102,510",3.3%,"$2,973,052",96.7%,2017_boxofficemojo_rankings.csv,2017
292,293,The Last Word,"$2,982,004","$1,783,421",59.8%,"$1,198,583",40.2%,2017_boxofficemojo_rankings.csv,2017
293,294,The Oscar Nominated Short Films 2017: Live Action,"$2,877,797","$2,835,355",98.5%,"$42,442",1.5%,2017_boxofficemojo_rankings.csv,2017
294,295,Maria By Callas,"$2,869,237","$1,267,301",44.2%,"$1,601,936",55.8%,2017_boxofficemojo_rankings.csv,2017
295,296,Inhumans,"$2,852,282","$1,521,787",53.4%,"$1,330,495",46.6%,2017_boxofficemojo_rankings.csv,2017
296,297,Lucky,"$2,728,446","$955,925",35%,"$1,772,521",65%,2017_boxofficemojo_rankings.csv,2017
297,298,Gangsterdam,"$2,697,522",$954,<0.1%,"$2,696,568",100%,2017_boxofficemojo_rankings.csv,2017
298,299,Beautiful Accident,"$2,632,092","$51,766",2%,"$2,580,326",98%,2017_boxofficemojo_rankings.csv,2017
299,300,Happy End,"$2,610,794","$301,718",11.6%,"$2,309,076",88.4%,2017_boxofficemojo_rankings.csv,2017
300,301,Poster Boys,"$2,602,256","$97,049",3.7%,"$2,505,207",96.3%,2017_boxofficemojo_rankings.csv,2017
301,302,A Question of Faith,"$2,587,072","$2,587,072",100%,-,-,2017_boxofficemojo_rankings.csv,2017
302,303,Is Genesis History?,"$2,570,392","$2,570,392",100%,-,-,2017_boxofficemojo_rankings.csv,2017
303,304,God's Own Country,"$2,559,939","$335,609",13.1%,"$2,224,330",86.9%,2017_boxofficemojo_rankings.csv,2017
304,305,The Only Living Boy in New York,"$2,550,321","$624,332",24.5%,"$1,925,989",75.5%,2017_boxofficemojo_rankings.csv,2017
305,306,Disney's Newsies: The Broadway Musical!,"$2,545,060","$2,545,060",100%,-,-,2017_boxofficemojo_rankings.csv,2017
306,307,The Dinner,"$2,544,921","$1,323,312",52%,"$1,221,609",48%,2017_boxofficemojo_rankings.csv,2017
307,308,IN OUR HANDS: Battle for Jerusalem,"$2,534,370","$2,534,370",100%,-,-,2017_boxofficemojo_rankings.csv,2017
308,309,Ittefaq,"$2,520,487","$298,032",11.8%,"$2,222,455",88.2%,2017_boxofficemojo_rankings.csv,2017
309,310,LBJ,"$2,510,151","$2,470,979",98.4%,"$39,172",1.6%,2017_boxofficemojo_rankings.csv,2017
310,311,The Resurrection of Gavin Stone,"$2,308,355","$2,303,792",99.8%,"$4,563",0.2%,2017_boxofficemojo_rankings.csv,2017
311,312,RV: Resurrected Victims,"$2,269,892","$20,374",0.9%,"$2,249,518",99.1%,2017_boxofficemojo_rankings.csv,2017
312,313,The Lovers,"$2,216,083","$2,194,521",99%,"$21,562",1%,2017_boxofficemojo_rankings.csv,2017
313,314,What Will People Say,"$2,191,131","$44,156",2%,"$2,146,975",98%,2017_boxofficemojo_rankings.csv,2017
314,315,Let Yourself Go,"$2,140,190","$12,189",0.6%,"$2,128,001",99.4%,2017_boxofficemojo_rankings.csv,2017
315,316,Mountain,"$2,129,889","$365,412",17.2%,"$1,764,477",82.8%,2017_boxofficemojo_rankings.csv,2017
316,317,Abracadabra,"$2,114,260","$13,975",0.7%,"$2,100,285",99.3%,2017_boxofficemojo_rankings.csv,2017
317,318,Lost in Paris,"$2,087,225","$691,597",33.1%,"$1,395,628",66.9%,2017_boxofficemojo_rankings.csv,2017
318,319,Hotchpotch Again,"$2,057,329","$1,013,893",49.3%,"$1,043,436",50.7%,2017_boxofficemojo_rankings.csv,2017
319,320,The Trip to Spain,"$1,988,841","$1,157,604",58.2%,"$831,237",41.8%,2017_boxofficemojo_rankings.csv,2017
320,321,Summer 1993,"$1,983,149","$185,903",9.4%,"$1,797,246",90.6%,2017_boxofficemojo_rankings.csv,2017
321,322,Menashe,"$1,962,265","$1,703,036",86.8%,"$259,229",13.2%,2017_boxofficemojo_rankings.csv,2017
322,323,A Ghost Story,"$1,951,683","$1,596,371",81.8%,"$355,312",18.2%,2017_boxofficemojo_rankings.csv,2017
323,324,Marie Curie: The Courage of Knowledge,"$1,944,392","$127,986",6.6%,"$1,816,406",93.4%,2017_boxofficemojo_rankings.csv,2017
324,325,Jane,"$1,921,221","$1,723,379",89.7%,"$197,842",10.3%,2017_boxofficemojo_rankings.csv,2017
325,326,Professor Marston & the Wonder Women,"$1,899,615","$1,584,759",83.4%,"$314,856",16.6%,2017_boxofficemojo_rankings.csv,2017
326,327,Last Flag Flying,"$1,872,950","$965,481",51.5%,"$907,469",48.5%,2017_boxofficemojo_rankings.csv,2017
327,328,Human Flow,"$1,824,537","$527,845",28.9%,"$1,296,692",71.1%,2017_boxofficemojo_rankings.csv,2017
328,329,Song to Song,"$1,778,021","$443,684",25%,"$1,334,337",75%,2017_boxofficemojo_rankings.csv,2017
329,330,Tom of Finland,"$1,776,931","$378,296",21.3%,"$1,398,635",78.7%,2017_boxofficemojo_rankings.csv,2017
330,331,Dunkirk 2017 Re-release,"$1,695,119","$1,695,119",100%,-,-,2017_boxofficemojo_rankings.csv,2017
331,332,Slamma Jamma,"$1,687,000","$1,687,000",100%,-,-,2017_boxofficemojo_rankings.csv,2017
332,333,Final Portrait,"$1,677,835","$461,972",27.5%,"$1,215,863",72.5%,2017_boxofficemojo_rankings.csv,2017
333,334,The Little Hours,"$1,647,175","$1,647,175",100%,-,-,2017_boxofficemojo_rankings.csv,2017
334,335,A Family Man,"$1,641,235",-,-,"$1,641,235",100%,2017_boxofficemojo_rankings.csv,2017
335,336,Walk With Me,"$1,606,705","$726,726",45.2%,"$879,979",54.8%,2017_boxofficemojo_rankings.csv,2017
336,337,Dance Academy: The Movie,"$1,586,858",-,-,"$1,586,858",100%,2017_boxofficemojo_rankings.csv,2017
337,338,The Stray,"$1,579,440","$1,579,440",100%,-,-,2017_boxofficemojo_rankings.csv,2017
338,339,Genesis: Paradise Lost,"$1,575,000","$1,575,000",100%,-,-,2017_boxofficemojo_rankings.csv,2017
339,340,Gold,"$1,528,185","$5,539",0.4%,"$1,522,646",99.6%,2017_boxofficemojo_rankings.csv,2017
340,341,Mully,"$1,489,771","$1,489,771",100%,-,-,2017_boxofficemojo_rankings.csv,2017
341,342,Patti Cake$,"$1,482,356","$800,148",54%,"$682,208",46%,2017_boxofficemojo_rankings.csv,2017
342,343,Thelma,"$1,463,727","$147,391",10.1%,"$1,316,336",89.9%,2017_boxofficemojo_rankings.csv,2017
343,344,My Friend Dahmer,"$1,436,751","$1,361,611",94.8%,"$75,140",5.2%,2017_boxofficemojo_rankings.csv,2017
344,345,Fairy Tail: Dragon Cry,"$1,420,035","$519,461",36.6%,"$900,574",63.4%,2017_boxofficemojo_rankings.csv,2017
